lat0 37.792480, lon0 -122.397450
posX,posY,posZ,halfSizeX,halfSizeY,halfSizeZ
-2.102389000000000010e+02,-7.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-2.002389000000000010e+02,-7.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.902389000000000010e+02,-7.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.802389000000000010e+02,-7.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.702389000000000010e+02,-7.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.602389000000000010e+02,-7.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.502389000000000010e+02,-7.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-5.023886000000000251e+01,-7.923153999999999542e+01,5.900000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,5.900000000000000000e+01
-4.023886000000000251e+01,-7.923153999999999542e+01,5.900000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,5.900000000000000000e+01
-3.023885999999999896e+01,-7.923153999999999542e+01,5.900000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,5.900000000000000000e+01
-2.023885999999999896e+01,-7.923153999999999542e+01,5.900000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,5.900000000000000000e+01
2.976115000000000066e+01,-7.923153999999999542e+01,9.150000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150000000000000000e+01
3.976113999999999749e+01,-7.923153999999999542e+01,9.150001000000000317e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150001000000000317e+01
4.976113999999999749e+01,-7.923153999999999542e+01,9.150000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150000000000000000e+01
5.976113999999999749e+01,-7.923153999999999542e+01,9.150000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150000000000000000e+01
6.976113999999999749e+01,-7.923153999999999542e+01,9.150000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150000000000000000e+01
2.197610999999999990e+02,-7.923153999999999542e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
2.297610999999999990e+02,-7.923153999999999542e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
2.397610999999999990e+02,-7.923153999999999542e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
2.497610999999999990e+02,-7.923153000000000645e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
2.897610999999999990e+02,-7.923153999999999542e+01,1.500000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00
2.997610999999999990e+02,-7.923153999999999542e+01,1.500000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00
-2.602389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-2.502389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-2.402389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-2.202389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-2.102389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-2.002389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.902389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.802389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.702389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.602389000000000010e+02,-6.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-4.023886000000000251e+01,-6.923153999999999542e+01,5.900000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,5.900000000000000000e+01
-3.023885999999999896e+01,-6.923153999999999542e+01,5.900000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,5.900000000000000000e+01
-2.023885999999999896e+01,-6.923153999999999542e+01,5.900000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,5.900000000000000000e+01
2.976115000000000066e+01,-6.923153999999999542e+01,9.150000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150000000000000000e+01
3.976113000000000142e+01,-6.923153999999999542e+01,9.150001000000000317e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150001000000000317e+01
4.976113000000000142e+01,-6.923153999999999542e+01,9.150000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150000000000000000e+01
5.976113999999999749e+01,-6.923153999999999542e+01,9.150000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150000000000000000e+01
6.976113999999999749e+01,-6.923153999999999542e+01,9.150000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.150000000000000000e+01
7.976113999999999749e+01,-6.923153999999999542e+01,9.149998999999999683e+01,5.000000000000000000e+00,5.000000000000000000e+00,9.149998999999999683e+01
1.697610999999999990e+02,-6.923153999999999542e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
1.797610999999999990e+02,-6.923153999999999542e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
1.897610999999999990e+02,-6.923153999999999542e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
1.997610999999999990e+02,-6.923153999999999542e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
2.097610999999999990e+02,-6.923153999999999542e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
2.197610999999999990e+02,-6.923153999999999542e+01,2.950000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.950000000000000000e+01
